index,name,region,diet,selectedProteins,exclusions,engineVersion,engineSource,status,engineQA,hardCount,warnCount,weirdCount,hard,warn,weird,days,targetDays,mainCounts,proteinTotals
24,v348 valid veg-quality scenario 24 AU mode 3,AU,omnivore,chicken|beef|pork|eggs|dairy|protein_powder,no_fish,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""pork"":2,""eggs"":3,""chicken"":3,""beef"":3}","[112,102,102,103,114,101,101]"
25,v348 valid veg-quality scenario 25 CA mode 4,CA,omnivore,chicken|beef|fish|dairy|protein_powder,no_eggs,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,1,0,,Day 6: protein high 119,,7,7,"{""beef"":3,""dairy"":3,""chicken"":4,""fish"":4}","[104,105,108,106,117,119,106]"
26,v348 valid veg-quality scenario 26 US mode 5,US,omnivore,chicken|beef|fish|eggs|protein_powder,no_dairy,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}","[100,109,109,104,106,104,113]"
27,v348 valid veg-quality scenario 27 UK mode 6,UK,pescatarian,fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,CONDITIONAL PASS,0,4,1,,Day 3: eggs snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: dairy snack repeats lunch/dinner protein. | Day 7: dairy snack repeats lunch/dinner protein.,low lunch template variety 3,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,93,94,104,97,98,110]"
28,v348 valid veg-quality scenario 28 SA mode 7,SA,pescatarian,fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,CONDITIONAL PASS,0,4,0,,Day 4: eggs snack repeats lunch/dinner protein. | Day 5: fish snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: dairy snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""fish"":7,""eggs"":4}","[97,93,107,100,111,99,112]"
29,v348 valid veg-quality scenario 29 AU mode 8,AU,vegetarian,eggs|dairy|tofu|lentils|beans|chickpeas,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[84,81,88,75,93,78,86]"
30,v348 valid veg-quality scenario 30 CA mode 9,CA,vegetarian,dairy|tofu|lentils|beans|chickpeas|protein_powder,no_eggs,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""dairy"":2,""tofu"":3,""beans"":3,""lentils"":3}","[102,88,106,81,96,82,94]"
31,v348 valid veg-quality scenario 31 US mode 10,US,vegetarian,eggs|tofu|lentils|beans|chickpeas|protein_powder,no_dairy,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""beans"":2,""eggs"":3,""chickpeas"":3,""tofu"":3,""lentils"":3}","[95,84,97,86,102,84,103]"
32,v348 valid veg-quality scenario 32 UK mode 11,UK,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,100,112,101,99]"
33,v348 valid veg-quality scenario 33 SA mode 12,SA,omnivore,chicken|beef|fish|eggs|dairy,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,86,87,86,82]"
34,v348 valid veg-quality scenario 34 AU mode 13,AU,omnivore,chicken|beef|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""beef"":4,""eggs"":3,""chicken"":4}","[112,114,101,114,111,92,114]"
35,v348 valid veg-quality scenario 35 CA mode 14,CA,pescatarian,fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,CONDITIONAL PASS,0,4,0,,Day 4: eggs snack repeats lunch/dinner protein. | Day 5: fish snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: dairy snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""fish"":7,""eggs"":4}","[97,93,107,100,111,99,112]"
36,v348 valid veg-quality scenario 36 US mode 15,US,omnivore,fish|beef|pork|eggs|dairy,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""pork"":3,""eggs"":3,""fish"":3,""beef"":3}","[91,103,98,100,99,107,95]"
37,v348 valid veg-quality scenario 37 UK mode 16,UK,vegetarian,tofu|lentils|beans|chickpeas|protein_powder,no_eggs|no_dairy,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}","[83,99,90,89,103,90,89]"
